List1,List2,List3,List4,List6,List7,List8
254:car,479:car,483:car,491:car,44:car,489:car,574:car
155:car,539:car,502:truck,513:car,89:car,522:car,1284:motorcycle
253:car,605:car,532:car,549:car,119:car,588:car,1943:car
269:car,599:car,577:car,542:car,1284:motorcycle,655:car,2560:car
380:car,641:car,654:car,584:car,1599:car,1284:motorcycle,4289:car
330:car,1965:car,2007:car,606:car,1729:car,2560:car,4371:car
388:car,1986:car,4257:car,639:car,1870:car,4298:car,4468:car
631:car,2003:car,4302:car,1946:car,1928:car,4416:car,4802:car
651:car,4331:car,4348:car,1956:car,1972:car,4845:car,4862:car
1009:car,4380:car,4401:car,1976:car,2038:car,4886:car,5013:car
1059:car,4400:car,4408:car,4259:car,2277:car,5025:car,5149:car
861:car,4453:car,4506:car,4280:car,2560:car,5037:car,5257:car
1819:car,4502:car,4880:car,4320:car,2882:car,5064:car,5668:car
1924:car,4841:car,4921:car,4337:car,2897:car,5126:car,7701:car
1989:car,4876:car,4947:car,4432:car,2935:car,5134:car,9262:car
2012:car,4929:car,4986:car,4473:car,3220:car,5180:car,9306:car
3037:car,5021:car,5027:car,4807:car,3349:motorcycle,5204:car,9434:car
3236:car,5058:car,5150:car,4811:car,4260:car,5219:car,9508:car
3250:car,5130:car,5192:car,4851:car,4325:large bus,5261:car,9620:car
3672:car,5189:car,5239:car,4961:car,4512:large bus,5323:car,9811:car
3687:car,5211:car,5287:car,5136:car,5092:car,5397:car,11353:car
3697:car,5290:car,5326:car,5145:car,5134:car,5463:car,11548:car
3865:car,5317:car,5406:car,5177:car,5303:car,5475:car,11615:car
4040:car,5461:car,5409:car,5201:car,5668:car,5509:car,11887:car
3993:car,5521:car,5454:car,5216:car,6406:car,5541:car,11990:car
4103:car,5531:car,5501:car,5268:car,7148:car,5583:car,12021:car
4157:car,5555:car,5562:car,5425:car,7243:car,5598:car,12755:car
4044:car,7337:car,5601:car,5506:car,7354:car,5668:car,14553:car
4097:car,7441:car,7381:car,5535:car,7404:car,6406:car,14586:car
4223:car,7756:car,7428:truck,5597:car,7472:car,7351:car,14650:car
4543:truck,7770:car,7460:car,5618:car,7546:car,7421:car,14860:car
4599:car,9194:car,7679:truck,5848:car,7665:car,7773:car,14884:car
4690:car,9216:car,7722:car,7336:car,7783:car,9222:car,15115:car
4912:car,9244:car,9291:car,7462:car,8053:car,9248:car,15235:car
5006:car,9268:car,9297:car,7540:car,8076:car,9315:car,15335:car
5093:car,9289:car,9364:car,7733:car,8092:car,9402:car,15375:car
5148:car,9571:car,9606:car,7764:car,8159:car,9431:car,15391:car
5181:car,9650:car,9623:car,9213:car,8270:car,9463:car,15433:car
5286:car,9783:car,9732:car,9224:car,8315:car,9493:car,15535:car
5378:car,9800:car,9806:car,9240:car,9603:car,9578:car,15552:car
5465:car,9875:car,9844:car,9284:car,9674:car,9656:car,15578:car
5466:car,9928:car,9896:car,9281:car,9869:car,9699:car,15834:car
5632:car,9982:car,9969:car,9385:car,9922:car,9730:car,16024:car
5541:car,10095:car,10077:car,9458:car,10599:car,9762:car,16119:car
5630:car,10122:car,10139:car,9495:car,11300:car,9791:car,16485:car
5726:car,10188:car,10254:car,9540:car,11357:car,9857:car,16553:car
7182:car,10188:truck,10261:car,9588:car,11431:car,9935:car,17977:car
7240:car,10330:car,10312:car,9694:car,11457:car,10020:car,18661:car
7421:car,10392:car,10425:car,9767:car,11500:car,10032:car,19547:car
7471:car,10481:car,10442:car,9796:car,11541:car,10132:car,19841:car
7560:car,10519:car,10459:car,9898:car,11587:car,10343:car,19914:car
7640:car,11044:car,10522:car,9932:car,11622:car,10487:car,20861:car
7636:car,11091:car,11386:car,10080:car,11694:car,11420:car,21008:car
7815:car,11197:car,11459:car,10242:car,11715:car,11604:car,21094:car
8224:car,11208:car,11669:car,10403:car,11743:car,11681:car,21245:car
8274:car,11233:car,11885:car,10453:car,11789:car,11971:car,21264:car
8309:car,11264:car,11914:car,10457:car,12289:car,13084:motorcycle,21397:car
8630:car,11339:car,11963:car,10524:car,12306:car,13680:motorcycle,21416:car
8634:car,11350:car,12008:car,11415:car,12401:car,14150:car,21464:car
8349:car,11414:car,12032:car,11442:car,12437:car,14235:car,21517:car
9015:car,11492:car,12716:car,11482:car,12817:car,14329:car,21541:car
9076:car,11519:car,12752:truck,11568:car,12831:car,14353:car,22763:car
9171:car,11564:car,12756:large bus,11602:car,12846:car,14411:car,22788:car
9266:car,11594:car,12762:car,11729:car,12928:car,14430:car,22969:car
9346:car,11636:car,12781:car,11765:car,13910:car,14553:car,23180:motorcycle
9406:car,11839:car,14155:car,11835:car,13927:car,14565:car,24020:car
9546:car,11879:car,14203:car,11895:car,14290:car,14607:car,24404:car
9582:car,11975:large bus,14285:car,11916:car,14412:car,14618:car,24514:car
9581:small bus,12003:car,14319:car,11984:car,14865:car,14648:car,24588:truck
9581:car,12676:car,14389:car,12062:car,14949:car,14660:car,24872:car
