List0,List1,List2,List3,List4,List5,List6,List7,List8,List9,List10,List11
74:car,7:car,57:car,33:car,15:car,16:car,10:car,689:car,669:car,97:car,739:car,1940:car
269:car,860:car,14:car,697:car,696:car,19:car,41:car,754:car,756:car,765:car,759:car,3372:car
437:car,861:car,704:car,685:car,703:car,32:car,90:car,771:car,775:car,803:car,819:car,4259:car
1724:car,996:car,698:car,713:car,727:car,36:car,117:car,794:car,801:car,824:car,1001:car,4811:car
1790:car,1684:car,735:car,734:car,745:car,99:car,138:car,820:car,821:car,824:large bus,1072:car,5294:car
3978:car,2043:car,762:car,782:car,780:car,79:car,161:car,844:car,838:car,846:car,2111:truck,5597:car
4940:car,1931:car,806:car,813:car,798:car,120:car,204:car,871:car,872:car,867:car,2133:car,
6334:car,1916:car,831:car,839:car,943:truck,166:car,247:car,890:car,893:car,886:car,2179:car,
6884:car,2138:car,865:car,864:car,1023:car,182:car,353:car,908:car,924:car,918:car,2249:truck,
,1913:large bus,909:car,868:car,1228:car,210:car,573:car,926:car,936:car,1029:car,2410:car,
,2232:large bus,968:car,900:car,1232:car,231:car,678:car,938:car,988:car,1119:car,2437:car,
,2417:car,976:car,910:car,1256:car,241:car,1087:car,962:car,1012:car,1270:truck,2486:large bus,
,2619:car,991:car,955:car,1309:car,252:car,1121:car,994:car,1035:car,1346:car,2486:truck,
,2725:car,1025:car,995:car,1367:car,282:car,1130:car,1017:car,1043:car,1383:car,2530:car,
,2771:car,1039:car,1252:car,1478:car,309:car,1144:car,1033:motorcycle,1060:car,1430:car,2560:car,
,2936:car,1260:car,1229:car,1498:car,326:car,1157:car,1044:car,1104:car,1482:car,2598:car,
,3188:car,1280:car,1235:car,1903:car,314:car,1167:car,1064:car,1221:car,1509:car,2643:car,
,3181:car,1391:car,1298:car,1905:car,690:car,1184:motorcycle,1224:car,1297:car,1516:large bus,2732:car,
,3195:car,1483:car,1368:car,2031:car,680:car,1192:car,1279:car,1326:car,1544:car,2871:car,
,3274:large bus,1600:car,1464:car,2059:car,708:car,1223:car,1313:truck,1372:car,2055:car,2948:pedestrian,
,3384:truck,1792:car,1612:truck,1926:car,712:car,1261:car,1340:car,1400:car,2122:car,3294:car,
,3384:large bus,1804:car,1906:car,2052:car,715:car,1614:car,1363:car,1433:car,2149:car,3321:car,
,3494:car,1869:car,1909:car,2045:car,1132:car,1649:car,1413:motorcycle,1487:car,2191:car,3364:car,
,3447:car,1915:car,1918:car,2193:car,1166:car,1681:truck,1422:car,1514:car,2233:car,3626:car,
,3573:large bus,1969:car,1914:car,2214:car,1161:car,1681:car,1461:truck,1902:car,2258:car,3643:car,
,3608:car,1904:car,1920:car,2253:car,1268:car,1701:car,1480:car,2069:car,2321:truck,3691:car,
,3789:car,2130:car,2116:car,2271:car,1304:car,1738:motorcycle,1503:car,2120:car,2343:car,3744:car,
,4559:car,2159:car,2160:car,2322:truck,1328:car,1733:car,1533:car,2151:car,2451:car,3831:car,
,5352:car,2199:car,2248:car,2347:car,1255:car,1755:car,1899:car,2203:car,2472:car,5737:car,
,5348:car,2262:car,2255:car,2361:car,1253:car,1778:car,2098:car,2227:car,2506:car,5783:car,
,5694:car,2251:large bus,2256:car,2447:car,1248:car,1808:car,2180:car,2288:car,2542:car,5867:car,
,5851:car,2352:car,2338:car,2416:car,1621:car,1825:car,2212:car,2303:car,2587:car,5886:car,
,5860:large bus,2329:car,2354:car,2478:car,1647:car,1845:car,2243:car,2333:car,2638:car,5935:car,
,5933:car,2371:car,2376:car,2508:car,1688:car,1910:car,2266:car,2365:car,2653:car,6050:truck,
,5357:large bus,2467:car,2445:car,2522:car,1697:car,2693:car,2284:car,2395:car,2701:car,6301:car,
,6029:car,2555:car,2481:car,2641:car,1731:car,2715:truck,2307:car,2468:car,2850:car,6327:car,
,6036:car,2651:car,2487:car,2685:car,1753:car,2913:car,2342:car,2496:car,2858:car,6374:car,
,6055:car,2707:car,2539:car,2716:car,1775:car,2922:car,2383:car,2520:car,2902:car,6406:car,
,6022:car,2748:truck,2689:car,2731:car,1799:car,2951:car,2408:car,2541:car,3252:car,6431:car,
,6124:car,2734:car,2686:car,2794:truck,1815:car,2970:car,2423:car,2578:car,3289:car,6458:car,
,6125:car,2760:car,2705:car,2770:car,1832:car,2986:car,2464:truck,2604:car,3317:car,6501:large bus,
,6226:car,2769:car,2741:car,2798:car,2129:car,3001:car,2497:car,2630:car,3346:car,6579:large bus,
,6464:car,2789:car,2777:car,2827:car,2140:car,3005:car,2528:car,2645:car,3368:car,6579:truck,
,6531:car,2845:car,2804:car,3174:car,2172:car,3017:car,2563:car,2653:car,3398:car,6639:car,
,6599:car,3189:car,2835:car,3171:car,2197:car,3020:car,2586:car,2729:car,3433:car,6653:truck,
,6881:car,3176:car,3172:car,3179:car,2209:car,3030:car,2610:car,2753:car,3455:car,6719:car,
,6946:car,3173:car,3169:car,3192:car,2247:car,3040:car,2631:car,2783:car,3473:car,7843:car,
,6995:car,3165:car,3232:car,3199:car,2280:car,3050:car,2646:car,2800:car,3495:car,7942:car,
,7344:car,3183:car,3194:car,3277:car,2300:car,3061:car,2665:car,2825:car,3524:car,,
,7819:car,3280:car,3182:car,3333:car,2334:car,3084:car,2728:car,2843:motorcycle,3558:car,,
,7946:car,3389:motorcycle,3233:car,3379:truck,2382:car,3779:car,2754:truck,3212:car,3622:car,,
,,3389:car,3287:car,3393:car,2404:car,3839:motorcycle,2772:car,3247:car,3636:large bus,,
,,3329:car,3332:car,3421:car,2427:car,3799:car,2792:car,3284:car,3645:large bus,,
,,3376:car,3409:car,3461:car,2540:car,3863:car,2811:car,3327:car,3693:car,,
,,3405:car,3401:car,3475:car,2699:car,3896:car,2844:car,3356:car,3719:car,,
,,3429:car,3427:car,3491:car,2703:car,3918:car,3162:car,3380:car,3740:car,,
,,3444:car,3440:car,3526:car,2873:car,3947:car,3249:car,3413:car,3941:motorcycle,,
